DIST,FR,V,CONC.,D
10,0.2,15,15,802.2
10,0.2,15,16,823.1
10,0.2,15,17,844
10,0.2,15,18,864.9
10,0.2,15,19,885.8
10,0.2,15,20,906.7
10,0.2,15,21,927.6
10,0.2,15,22,948.5
10,0.2,15,23,969.4
10,0.2,15,24,990.3
10,0.2,15,25,1011.2
10,0.2,15,26,1032.1
10,0.2,15,27,1053
10,0.2,15,28,1073.9
10,0.2,15,29,1094.8
10,0.2,15,30,1115.7
10,0.2,16,15,801.7
10,0.2,16,16,822.6
10,0.2,16,17,843.5
10,0.2,16,18,864.4
10,0.2,16,19,885.3
10,0.2,16,20,906.2
10,0.2,16,21,927.1
10,0.2,16,22,948
10,0.2,16,23,968.9
10,0.2,16,24,989.8
10,0.2,16,25,1010.7
10,0.2,16,26,1031.6
10,0.2,16,27,1052.5
10,0.2,16,28,1073.4
10,0.2,16,29,1094.3
10,0.2,16,30,1115.2
10,0.2,17,15,801.2
10,0.2,17,16,822.1
10,0.2,17,17,843
10,0.2,17,18,863.9
10,0.2,17,19,884.8
10,0.2,17,20,905.7
10,0.2,17,21,926.6
10,0.2,17,22,947.5
10,0.2,17,23,968.4
10,0.2,17,24,989.3
10,0.2,17,25,1010.2
10,0.2,17,26,1031.1
10,0.2,17,27,1052
10,0.2,17,28,1072.9
10,0.2,17,29,1093.8
10,0.2,17,30,1114.7
10,0.2,18,15,800.7
10,0.2,18,16,821.6
10,0.2,18,17,842.5
10,0.2,18,18,863.4
10,0.2,18,19,884.3
10,0.2,18,20,905.2
10,0.2,18,21,926.1
10,0.2,18,22,947
10,0.2,18,23,967.9
10,0.2,18,24,988.8
10,0.2,18,25,1009.7
10,0.2,18,26,1030.6
10,0.2,18,27,1051.5
10,0.2,18,28,1072.4
10,0.2,18,29,1093.3
10,0.2,18,30,1114.2
10,0.2,19,15,800.2
10,0.2,19,16,821.1
10,0.2,19,17,842
10,0.2,19,18,862.9
10,0.2,19,19,883.8
10,0.2,19,20,904.7
10,0.2,19,21,925.6
10,0.2,19,22,946.5
10,0.2,19,23,967.4
10,0.2,19,24,988.3
10,0.2,19,25,1009.2
10,0.2,19,26,1030.1
10,0.2,19,27,1051
10,0.2,19,28,1071.9
10,0.2,19,29,1092.8
10,0.2,19,30,1113.7
10,0.2,20,15,799.7
10,0.2,20,16,820.6
10,0.2,20,17,841.5
10,0.2,20,18,862.4
10,0.2,20,19,883.3
10,0.2,20,20,904.2
10,0.2,20,21,925.1
10,0.2,20,22,946
10,0.2,20,23,966.9
10,0.2,20,24,987.8
10,0.2,20,25,1008.7
10,0.2,20,26,1029.6
10,0.2,20,27,1050.5
10,0.2,20,28,1071.4
10,0.2,20,29,1092.3
10,0.2,20,30,1113.2
10,0.2,21,15,799.2
10,0.2,21,16,820.1
10,0.2,21,17,841
10,0.2,21,18,861.9
10,0.2,21,19,882.8
10,0.2,21,20,903.7
10,0.2,21,21,924.6
10,0.2,21,22,945.5
10,0.2,21,23,966.4
10,0.2,21,24,987.3
10,0.2,21,25,1008.2
10,0.2,21,26,1029.1
10,0.2,21,27,1050
10,0.2,21,28,1070.9
10,0.2,21,29,1091.8
10,0.2,21,30,1112.7
10,0.2,22,15,798.7
10,0.2,22,16,819.6
10,0.2,22,17,840.5
10,0.2,22,18,861.4
10,0.2,22,19,882.3
10,0.2,22,20,903.2
10,0.2,22,21,924.1
10,0.2,22,22,945
10,0.2,22,23,965.9
10,0.2,22,24,986.8
10,0.2,22,25,1007.7
10,0.2,22,26,1028.6
10,0.2,22,27,1049.5
10,0.2,22,28,1070.4
10,0.2,22,29,1091.3
10,0.2,22,30,1112.2
10,0.2,23,15,798.2
10,0.2,23,16,819.1
10,0.2,23,17,840
10,0.2,23,18,860.9
10,0.2,23,19,881.8
10,0.2,23,20,902.7
10,0.2,23,21,923.6
10,0.2,23,22,944.5
10,0.2,23,23,965.4
10,0.2,23,24,986.3
10,0.2,23,25,1007.2
10,0.2,23,26,1028.1
10,0.2,23,27,1049
10,0.2,23,28,1069.9
10,0.2,23,29,1090.8
10,0.2,23,30,1111.7
10,0.2,24,15,797.7
10,0.2,24,16,818.6
10,0.2,24,17,839.5
10,0.2,24,18,860.4
10,0.2,24,19,881.3
10,0.2,24,20,902.2
10,0.2,24,21,923.1
10,0.2,24,22,944
10,0.2,24,23,964.9
10,0.2,24,24,985.8
10,0.2,24,25,1006.7
10,0.2,24,26,1027.6
10,0.2,24,27,1048.5
10,0.2,24,28,1069.4
10,0.2,24,29,1090.3
10,0.2,24,30,1111.2
10,0.2,25,15,797.2
10,0.2,25,16,818.1
10,0.2,25,17,839
10,0.2,25,18,859.9
10,0.2,25,19,880.8
10,0.2,25,20,901.7
10,0.2,25,21,922.6
10,0.2,25,22,943.5
10,0.2,25,23,964.4
10,0.2,25,24,985.3
10,0.2,25,25,1006.2
10,0.2,25,26,1027.1
10,0.2,25,27,1048
10,0.2,25,28,1068.9
10,0.2,25,29,1089.8
10,0.2,25,30,1110.7
10,0.5,15,15,843
10,0.5,15,16,863.9
10,0.5,15,17,884.8
10,0.5,15,18,905.7
10,0.5,15,19,926.6
10,0.5,15,20,947.5
10,0.5,15,21,968.4
10,0.5,15,22,989.3
10,0.5,15,23,1010.2
10,0.5,15,24,1031.1
10,0.5,15,25,1052
10,0.5,15,26,1072.9
10,0.5,15,27,1093.8
10,0.5,15,28,1114.7
10,0.5,15,29,1135.6
10,0.5,15,30,1156.5
10,0.5,16,15,842.5
10,0.5,16,16,863.4
10,0.5,16,17,884.3
10,0.5,16,18,905.2
10,0.5,16,19,926.1
10,0.5,16,20,947
10,0.5,16,21,967.9
10,0.5,16,22,988.8
10,0.5,16,23,1009.7
10,0.5,16,24,1030.6
10,0.5,16,25,1051.5
10,0.5,16,26,1072.4
10,0.5,16,27,1093.3
10,0.5,16,28,1114.2
10,0.5,16,29,1135.1
10,0.5,16,30,1156
10,0.5,17,15,842
10,0.5,17,16,862.9
10,0.5,17,17,883.8
10,0.5,17,18,904.7
10,0.5,17,19,925.6
10,0.5,17,20,946.5
10,0.5,17,21,967.4
10,0.5,17,22,988.3
10,0.5,17,23,1009.2
10,0.5,17,24,1030.1
10,0.5,17,25,1051
10,0.5,17,26,1071.9
10,0.5,17,27,1092.8
10,0.5,17,28,1113.7
10,0.5,17,29,1134.6
10,0.5,17,30,1155.5
10,0.5,18,15,841.5
10,0.5,18,16,862.4
10,0.5,18,17,883.3
10,0.5,18,18,904.2
10,0.5,18,19,925.1
10,0.5,18,20,946
10,0.5,18,21,966.9
10,0.5,18,22,987.8
10,0.5,18,23,1008.7
10,0.5,18,24,1029.6
10,0.5,18,25,1050.5
10,0.5,18,26,1071.4
10,0.5,18,27,1092.3
10,0.5,18,28,1113.2
10,0.5,18,29,1134.1
10,0.5,18,30,1155
10,0.5,19,15,841
10,0.5,19,16,861.9
10,0.5,19,17,882.8
10,0.5,19,18,903.7
10,0.5,19,19,924.6
10,0.5,19,20,945.5
10,0.5,19,21,966.4
10,0.5,19,22,987.3
10,0.5,19,23,1008.2
10,0.5,19,24,1029.1
10,0.5,19,25,1050
10,0.5,19,26,1070.9
10,0.5,19,27,1091.8
10,0.5,19,28,1112.7
10,0.5,19,29,1133.6
10,0.5,19,30,1154.5
10,0.5,20,15,840.5
10,0.5,20,16,861.4
10,0.5,20,17,882.3
10,0.5,20,18,903.2
10,0.5,20,19,924.1
10,0.5,20,20,945
10,0.5,20,21,965.9
10,0.5,20,22,986.8
10,0.5,20,23,1007.7
10,0.5,20,24,1028.6
10,0.5,20,25,1049.5
10,0.5,20,26,1070.4
10,0.5,20,27,1091.3
10,0.5,20,28,1112.2
10,0.5,20,29,1133.1
10,0.5,20,30,1154
10,0.5,21,15,840
10,0.5,21,16,860.9
10,0.5,21,17,881.8
10,0.5,21,18,902.7
10,0.5,21,19,923.6
10,0.5,21,20,944.5
10,0.5,21,21,965.4
10,0.5,21,22,986.3
10,0.5,21,23,1007.2
10,0.5,21,24,1028.1
10,0.5,21,25,1049
10,0.5,21,26,1069.9
10,0.5,21,27,1090.8
10,0.5,21,28,1111.7
10,0.5,21,29,1132.6
10,0.5,21,30,1153.5
10,0.5,22,15,839.5
10,0.5,22,16,860.4
10,0.5,22,17,881.3
10,0.5,22,18,902.2
10,0.5,22,19,923.1
10,0.5,22,20,944
10,0.5,22,21,964.9
10,0.5,22,22,985.8
10,0.5,22,23,1006.7
10,0.5,22,24,1027.6
10,0.5,22,25,1048.5
10,0.5,22,26,1069.4
10,0.5,22,27,1090.3
10,0.5,22,28,1111.2
10,0.5,22,29,1132.1
10,0.5,22,30,1153
10,0.5,23,15,839
10,0.5,23,16,859.9
10,0.5,23,17,880.8
10,0.5,23,18,901.7
10,0.5,23,19,922.6
10,0.5,23,20,943.5
10,0.5,23,21,964.4
10,0.5,23,22,985.3
10,0.5,23,23,1006.2
10,0.5,23,24,1027.1
10,0.5,23,25,1048
10,0.5,23,26,1068.9
10,0.5,23,27,1089.8
10,0.5,23,28,1110.7
10,0.5,23,29,1131.6
10,0.5,23,30,1152.5
10,0.5,24,15,838.5
10,0.5,24,16,859.4
10,0.5,24,17,880.3
10,0.5,24,18,901.2
10,0.5,24,19,922.1
10,0.5,24,20,943
10,0.5,24,21,963.9
10,0.5,24,22,984.8
10,0.5,24,23,1005.7
10,0.5,24,24,1026.6
10,0.5,24,25,1047.5
10,0.5,24,26,1068.4
10,0.5,24,27,1089.3
10,0.5,24,28,1110.2
10,0.5,24,29,1131.1
10,0.5,24,30,1152
10,0.5,25,15,838
10,0.5,25,16,858.9
10,0.5,25,17,879.8
10,0.5,25,18,900.7
10,0.5,25,19,921.6
10,0.5,25,20,942.5
10,0.5,25,21,963.4
10,0.5,25,22,984.3
10,0.5,25,23,1005.2
10,0.5,25,24,1026.1
10,0.5,25,25,1047
10,0.5,25,26,1067.9
10,0.5,25,27,1088.8
10,0.5,25,28,1109.7
10,0.5,25,29,1130.6
10,0.5,25,30,1151.5
10,0.7,15,15,870.2
10,0.7,15,16,891.1
10,0.7,15,17,912
10,0.7,15,18,932.9
10,0.7,15,19,953.8
10,0.7,15,20,974.7
10,0.7,15,21,995.6
10,0.7,15,22,1016.5
10,0.7,15,23,1037.4
10,0.7,15,24,1058.3
10,0.7,15,25,1079.2
10,0.7,15,26,1100.1
10,0.7,15,27,1121
10,0.7,15,28,1141.9
10,0.7,15,29,1162.8
10,0.7,15,30,1183.7
10,0.7,16,15,869.7
10,0.7,16,16,890.6
10,0.7,16,17,911.5
10,0.7,16,18,932.4
10,0.7,16,19,953.3
10,0.7,16,20,974.2
10,0.7,16,21,995.1
10,0.7,16,22,1016
10,0.7,16,23,1036.9
10,0.7,16,24,1057.8
10,0.7,16,25,1078.7
10,0.7,16,26,1099.6
10,0.7,16,27,1120.5
10,0.7,16,28,1141.4
10,0.7,16,29,1162.3
10,0.7,16,30,1183.2
10,0.7,17,15,869.2
10,0.7,17,16,890.1
10,0.7,17,17,911
10,0.7,17,18,931.9
10,0.7,17,19,952.8
10,0.7,17,20,973.7
10,0.7,17,21,994.6
10,0.7,17,22,1015.5
10,0.7,17,23,1036.4
10,0.7,17,24,1057.3
10,0.7,17,25,1078.2
10,0.7,17,26,1099.1
10,0.7,17,27,1120
10,0.7,17,28,1140.9
10,0.7,17,29,1161.8
10,0.7,17,30,1182.7
10,0.7,18,15,868.7
10,0.7,18,16,889.6
10,0.7,18,17,910.5
10,0.7,18,18,931.4
10,0.7,18,19,952.3
10,0.7,18,20,973.2
10,0.7,18,21,994.1
10,0.7,18,22,1015
10,0.7,18,23,1035.9
10,0.7,18,24,1056.8
10,0.7,18,25,1077.7
10,0.7,18,26,1098.6
10,0.7,18,27,1119.5
10,0.7,18,28,1140.4
10,0.7,18,29,1161.3
10,0.7,18,30,1182.2
10,0.7,19,15,868.2
10,0.7,19,16,889.1
10,0.7,19,17,910
10,0.7,19,18,930.9
10,0.7,19,19,951.8
10,0.7,19,20,972.7
10,0.7,19,21,993.6
10,0.7,19,22,1014.5
10,0.7,19,23,1035.4
